source_table,source_column,pdp_class,nullable
product_template,ndi_ongkir_rp,internal,
product_template,ndi_pajak_pct,internal,
product_template,ndi_pembulatan_rp,internal,
product_template,ndi_profit_pct,internal,
product_template,ndi_risiko_pct,internal,
product_template,ndi_stok_maks,internal,
product_template,ndi_stok_min,internal,
product_template,pos_sequence,internal,
product_template,product_properties,internal,
product_template,project_id,internal,
product_template,project_template_id,internal,
product_template,property_account_expense_id,internal,
product_template,property_account_income_id,internal,
product_template,property_price_difference_account_id,internal,
product_template,property_stock_inventory,internal,
product_template,property_stock_production,internal,
product_template,public_description,public,
product_template,purchase_line_warn_msg,internal,
product_template,purchase_method,internal,
product_template,purchase_ok,internal,
product_template,responsible_id,internal,
product_template,sale_delay,internal,
product_template,sale_line_warn_msg,internal,
product_template,sale_ok,internal,
product_template,sequence,internal,
product_template,service_to_purchase,internal,
product_template,service_tracking,internal,
product_template,service_type,internal,
product_template,task_template_id,internal,
product_template,to_weight,internal,
product_template,tracking,internal,
product_template,type,internal,
product_template,uom_id,internal,
product_template,volume,internal,
product_template,weight,internal,
product_template,write_date,internal,
product_template,write_uid,internal,
sale_order,access_token,secret,
sale_order,amount_tax,internal,
sale_order,amount_total,internal,
sale_order,amount_unpaid,internal,
sale_order,amount_untaxed,internal,
sale_order,campaign_id,internal,
sale_order,client_order_ref,personal,
sale_order,commitment_date,internal,
sale_order,company_id,internal,
sale_order,create_date,internal,
sale_order,create_uid,internal,
sale_order,currency_id,internal,
sale_order,currency_rate,internal,
sale_order,customizable_pdf_form_fields,internal,
sale_order,date_order,internal,
sale_order,delivery_status,internal,
sale_order,effective_date,internal,
sale_order,fiscal_position_id,internal,
sale_order,id,internal,
sale_order,incoterm,internal,
sale_order,incoterm_location,internal,
sale_order,invoice_status,internal,
sale_order,journal_id,internal,
sale_order,locked,internal,
sale_order,medium_id,internal,
sale_order,name,internal,
sale_order,note,sensitive,true
sale_order,operating_unit_id,internal,
sale_order,origin,internal,
sale_order,partner_id,internal,
sale_order,partner_invoice_id,internal,
sale_order,partner_shipping_id,internal,
sale_order,payment_term_id,internal,
sale_order,pending_email_template_id,internal,
sale_order,picking_policy,internal,
sale_order,preferred_payment_method_line_id,internal,
sale_order,prepayment_percent,internal,
sale_order,pricelist_id,internal,
sale_order,project_id,internal,
sale_order,reference,internal,
sale_order,require_payment,internal,
sale_order,require_signature,internal,
sale_order,sale_order_template_id,internal,
sale_order,signed_by,personal,
sale_order,signed_on,internal,
sale_order,source_id,internal,
sale_order,state,internal,
sale_order,team_id,internal,
sale_order,user_id,internal,
sale_order,validity_date,internal,
sale_order,warehouse_id,internal,
